"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Order","Filled","","2026-05-24T16:06:25.344Z","","","","","","KXETH15M-26MAY241215-15","726906b9-cb5a-4af5-a416-872a71c28803","10.76","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T16:00:40.454Z","","","","","","KXETH15M-26MAY241215-15","726906b9-cb5a-4af5-a416-872a71c28803","10.76","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:59:38.525Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","9.6","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:59:18.032Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:59:18.031Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:59:14.608Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:59:14.607Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:58:51.524Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:58:51.523Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:58:24.778Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:58:24.777Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:55:22.776Z","","","","","","KXBTC15M-26MAY241200-00","e03b5916-92b2-42c5-b470-dec2538b17d6","13.47","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:53:59.960Z","","","","","","KXSOL15M-26MAY241200-00","12cdf60a-8a00-49b1-8ce3-b7bab1b44c4f","12.58","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:53:05.302Z","","","","","","KXSOL15M-26MAY241200-00","12cdf60a-8a00-49b1-8ce3-b7bab1b44c4f","12.58","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:53:00.523Z","","","","","","KXSOL15M-26MAY241200-00","12cdf60a-8a00-49b1-8ce3-b7bab1b44c4f","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:53:00.522Z","","","","","","KXSOL15M-26MAY241200-00","12cdf60a-8a00-49b1-8ce3-b7bab1b44c4f","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:48:03.740Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","9.6","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:47:56.081Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:47:56.078Z","","","","","","KXETH15M-26MAY241200-00","ec29d5cd-4bf2-48f1-82fc-8dc725315034","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:42:25.262Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","20.06","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:41:07.299Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:41:07.299Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:40:38.534Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:40:38.533Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:39:09.173Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","10.08","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:39:03.919Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:39:03.918Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:38:05.600Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","15.13","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:37:32.080Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","15.13","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:37:32.079Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:34:47.875Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","11.51","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:33:06.916Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","11.51","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:33:06.915Z","","","","","","KXETH15M-26MAY241145-45","f1434ccc-5a1d-425b-ab47-8171bc53330e","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:26:23.014Z","","","","","","KXSOL15M-26MAY241130-30","ca0ed4c0-eec4-4e07-bf2a-42500dbf2f53","8.64","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:26:18.335Z","","","","","","KXSOL15M-26MAY241130-30","ca0ed4c0-eec4-4e07-bf2a-42500dbf2f53","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:26:18.334Z","","","","","","KXSOL15M-26MAY241130-30","ca0ed4c0-eec4-4e07-bf2a-42500dbf2f53","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:26:13.552Z","","","","","","KXSOL15M-26MAY241130-30","ca0ed4c0-eec4-4e07-bf2a-42500dbf2f53","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:26:13.551Z","","","","","","KXSOL15M-26MAY241130-30","ca0ed4c0-eec4-4e07-bf2a-42500dbf2f53","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:12:00.358Z","","","","","","KXETH15M-26MAY241115-15","fb266f83-9b1c-482a-b88f-765095ccdf73","21.15","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T15:03:27.532Z","","","","","","KXETH15M-26MAY241115-15","fb266f83-9b1c-482a-b88f-765095ccdf73","21.15","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:01:43.690Z","","","","","","KXETH15M-26MAY241115-15","fb266f83-9b1c-482a-b88f-765095ccdf73","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T15:01:43.689Z","","","","","","KXETH15M-26MAY241115-15","fb266f83-9b1c-482a-b88f-765095ccdf73","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T14:52:48.956Z","","","","","","KXETH15M-26MAY241100-00","54ee4705-1b6a-485b-9567-fac8c66e1d1c","10.93","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-24T14:49:20.207Z","","","","","","KXETH15M-26MAY241100-00","54ee4705-1b6a-485b-9567-fac8c66e1d1c","9.69","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T14:49:15.869Z","","","","","","KXETH15M-26MAY241100-00","54ee4705-1b6a-485b-9567-fac8c66e1d1c","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-05-24T14:49:15.869Z","","","","","","KXETH15M-26MAY241100-00","54ee4705-1b6a-485b-9567-fac8c66e1d1c","0","0","","","","","","","","","","","",""
